"file","speaker","io_unit","start_time","end_time","pause_duration","io_duration","genre","glottocode","speaker_age","speaker_sex","synthesis","tone","element","sprach_dauer","part"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",29,57.53,59.47,0.931,1.94,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.009,"part2"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",30,59.47,61.11,0.417,1.64,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.223,"part2"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",31,61.11,63.226,0.516,2.116,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.6,"part2"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",34,77.247,78.965,1.065,1.718,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.653,"part4"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",35,78.965,80.574,0.532,1.609,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.077,"part4"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",38,87.49,90.388,1.153,2.898,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.745,"part6"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",39,90.388,92.89,0.904,2.502,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.598,"part6"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",40,92.89,94.916,1.396,2.026,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.63,"part6"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",41,94.916,96.488,0.557,1.572,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.015,"part6"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",45,98.84,104.32,4.14,5.48,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.34,"part7"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",46,104.32,107.771,2.263,3.451,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.188,"part7"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",47,107.771,112.404,1.581,4.633,"traditional narrative","anal1239",80,"m",NA,"yes","a",3.052,"part7"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",48,112.404,115.752,0.256,3.348,"traditional narrative","anal1239",80,"m",NA,"yes","a",3.092,"part7"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",49,115.752,120.43,3.427,4.678,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.251,"part7"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",50,120.43,121.39,0.15,0.96,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.81,"part7"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",51,121.39,124.36,2.36,2.97,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.61,"part7"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",52,124.36,125.031,0.067,0.671,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.604,"part7"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",55,138.55,139.426,0.063,0.876,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.813,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",56,139.426,140.186,0.061,0.76,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.699,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",57,140.186,142.43,1.24,2.244,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.004,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",58,142.43,143.717,0.466,1.287,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.821,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",59,143.717,144.51,0.233,0.793,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.56,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",60,144.51,145.416,0.344,0.906,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.562,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",61,145.416,147.718,1.308,2.302,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.994,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",62,147.718,148.504,0.266,0.786,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.52,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",63,148.504,148.798,0.056,0.294,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.238,"part9"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",64,148.798,149.813,0.209,1.015,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.806,"part9"
